Year,Region,AFS Name,Sum Pounds,Sum Dollars
2015,Gulf*,CUSK-EELS,"3,069","4,485"
2015,Gulf*,"CUTLASSFISH, ATLANTIC","6,234","7,110"
2015,Gulf*,CUTLASSFISHES,"56,305","107,488"
2015,Gulf*,DAMSELFISH FAMILY,26,115
2015,Gulf*,DEEPWATER CORAL,"1,880","6,277"
2015,Gulf*,DEEPWATER SQUIRRELFISH,1,12
2015,Gulf*,DISCOSOMA,"1,848","13,323"
2015,Gulf*,DOCTORFISH,195,"1,228"
2015,Gulf*,"DOLLAR, NOTCHED SAND",78,78
2015,Gulf*,"DOLLARS, OTHER SAND","239,923","37,467"
2015,Gulf*,"DOLLARS, SIX-HOLED KEYHOLE SAND",15,101
2015,Gulf*,DOLPHINFISH,"448,642","1,114,287"
2015,Gulf*,"DRUM, BLACK","6,230,537","6,078,932"
2015,Gulf*,"DRUM, FRESHWATER","455,760","76,537"
2015,Gulf*,"DRUM, RED","61,492","155,493"
2015,Gulf*,DRUMS,655,344
2015,Gulf*,DUSKY DAMSELFISH,11,17
2015,Gulf*,DUSKY JAWFISH,516,798
2015,Gulf*,DWARF SEAHORSE,"29,173","71,291"
2015,Gulf*,"EEL, AMERICAN",NA,NA
2015,Gulf*,"EEL, MORAYS",210,286
2015,Gulf*,EELS,50,194
2015,Gulf*,"EELS, CONGER",80,87
2015,Gulf*,"EELS, SNAKE",317,317
2015,Gulf*,FALSE ARROW CRAB,"1,632","2,358"
2015,Gulf*,FEATHER STARS,4,12
2015,Gulf*,FILEFISH,85,599
2015,Gulf*,"FILEFISH, PYGMY",42,52
2015,Gulf*,FINFISH,"243,770","544,474"
2015,Gulf*,FLAMEFISH,"1,305","2,617"
2015,Gulf*,FLAMINGO TONGUE,92,73
2015,Gulf*,FLATFISH,"26,634","66,336"
2015,Gulf*,FLORIDA BLENNY,237,265
2015,Gulf*,FLORIDA CORALLIMORPHARIAN,"7,612","34,957"
2015,Gulf*,FLORIDA FIGHTING CONCH,"8,135","9,139"
2015,Gulf*,FLORIDA REGAL DORIS,84,483
2015,Gulf*,FLORIDA SEA CUCUMBER,"18,468","16,088"
2015,Gulf*,FLORIDA SNAIL CERITHIDEA,"442,562","74,461"
2015,Gulf*,"FLOUNDER, SOUTHERN","92,864","275,423"
2015,Gulf*,"FLOUNDER, SUMMER","7,629","23,630"
2015,Gulf*,FLOUNDERS,"163,067","465,528"
2015,Gulf*,FLYINGFISHES,"4,332","5,458"
2015,Gulf*,FORAMS,"9,285","16,857"
2015,Gulf*,FOUREYE BUTTERFLYFISH,930,"3,604"
2015,Gulf*,FRENCH ANGELFISH,"1,669","34,191"
2015,Gulf*,FROGFISHES,2,30
2015,Gulf*,FROGS,"13,543","33,408"
2015,Gulf*,FURCATE SPIDER CRAB,"2,442","2,527"
2015,Gulf*,GAFFTOPSAIL CATFISH,"10,460","4,153"
2015,Gulf*,GAG,"750,793","3,299,565"
2015,Gulf*,GARS,"19,030","20,843"
2015,Gulf*,GIANT HERMIT,576,"1,146"
2015,Gulf*,GLASS BLENNY,42,67
2015,Gulf*,GLASSEYE SNAPPER,26,"1,040"
2015,Gulf*,GLASSY SWEEPER,301,"5,850"
2015,Gulf*,GOATFISHES,"40,835","14,342"
2015,Gulf*,GOBY FAMILY,"1,048","1,557"
2015,Gulf*,GOLDEN CORAL SHRIMP,290,"1,455"
2015,Gulf*,GOLDENTAIL MORAY,51,876
2015,Gulf*,GOLDSPOTTED EEL,13,124
2015,Gulf*,GRAY ANGELFISH,"3,089","38,171"
2015,Gulf*,GRAYSBY,330,"1,448"
2015,Gulf*,GREAT BARRACUDA,"117,552","136,174"
2015,Gulf*,GREEN CLINGING CRAB,"296,755","191,785"
2015,Gulf*,GREEN MORAY,53,"3,210"
2015,Gulf*,GREEN SEA MAT,"11,516","8,475"
2015,Gulf*,GREEN SEA URCHIN,"36,120","63,889"
2015,Gulf*,GROOVED-BLADE SEA WHIP,"12,345","49,294"
2015,Gulf*,"GROUPER, BLACK","142,703","606,932"
2015,Gulf*,"GROUPER, MARBLED",726,"1,938"
2015,Gulf*,"GROUPER, MISTY",NA,NA
2015,Gulf*,"GROUPER, RED","5,678,393","18,974,873"
2015,Gulf*,"GROUPER, SNOWY","205,758","788,927"
2015,Gulf*,"GROUPER, WARSAW","63,580","207,421"
2015,Gulf*,"GROUPER, YELLOWEDGE","857,433","3,479,655"
2015,Gulf*,"GROUPER, YELLOWFIN",741,"2,703"
2015,Gulf*,"GROUPER, YELLOWMOUTH",66,313
2015,Gulf*,GROUPERS,"1,136","3,630"
2015,Gulf*,"GRUNT, COTTONWICK",67,172
2015,Gulf*,"GRUNT, FRENCH","2,812","36,409"
2015,Gulf*,"GRUNT, TOMTATE",80,250
2015,Gulf*,GRUNTS,"268,102","359,427"
2015,Gulf*,GULF BUTTERFISH,"395,308","140,614"
2015,Gulf*,GULF FLOUNDER,"47,834","142,482"
2015,Gulf*,GULF KINGFISH,NA,NA
2015,Gulf*,GYMNACHIRUS,17,68
2015,Gulf*,HAIRY BLENNY,18,45
2015,Gulf*,"HAKES, RED AND WHITE",662,"1,370"
2015,Gulf*,HALICLONA COMPRESSA,"5,263","16,029"
2015,Gulf*,HALIEUTICHTHYS,795,"1,005"
2015,Gulf*,HALIMEDA,"7,503","6,780"
2015,Gulf*,HARLEQUIN BASS,633,"1,996"
2015,Gulf*,HARVESTFISH,58,28
2015,Gulf*,HAWKWING CONCH,160,442
2015,Gulf*,HEMIRAMPHUS,"993,846","807,652"
2015,Gulf*,"HERRING, ATLANTIC THREAD","1,415,107","297,415"
2015,Gulf*,"HERRING, ROUND",168,168
2015,Gulf*,HERRINGS,"1,020,928","259,841"
2015,Gulf*,HIGH-HAT,"2,194","5,867"
2015,Gulf*,"HIND, RED","1,067","2,887"
2015,Gulf*,"HIND, ROCK",506,"1,386"
2015,Gulf*,"HIND, SPECKLED","65,940","223,396"
2015,Gulf*,HIPPOSPONGIA,"118,719","329,250"
2015,Gulf*,HOGFISH,"50,487","223,868"
2015,Gulf*,HONEYCOMB COWFISH,644,995
2015,Gulf*,HORSE CONCH,"1,461","3,624"
2015,Gulf*,HYDRALIKE ANIMALS,7,262
2015,Gulf*,INSHORE LIZARDFISH,2,14
2015,Gulf*,IRISH POMPANO,"60,899","88,387"
2015,Gulf*,"JACK, ALMACO","77,642","92,575"
2015,Gulf*,"JACK, BAR","9,711","13,483"
2015,Gulf*,"JACK, CREVALLE","688,585","536,605"
2015,Gulf*,"JACK, HORSE-EYE",342,329
2015,Gulf*,JACKKNIFE-FISH,622,"3,720"
2015,Gulf*,JACKS,"94,895","67,358"
2015,Gulf*,JAMAICAN CASSIOPEA,"2,454","7,882"
2015,Gulf*,JANTHINIDAE,35,12
2015,Gulf*,JAWFISH FAMILY,72,"1,465"
2015,Gulf*,JELLYFISH,634,"3,469"
2015,Gulf*,KEY BROTULA,13,65
2015,Gulf*,KEYHOLE SAND DOLLAR,"1,155,387","258,298"
2015,Gulf*,KILLIFISH FAMILY,"2,586","48,232"
2015,Gulf*,KINGFISHES,"145,192","181,867"
2015,Gulf*,KYPHOSUS SECTATOR,"1,143","1,032"
2015,Gulf*,LADYFISH,"724,317","540,361"
2015,Gulf*,LAND HERMIT CRABS,"2,127",532
2015,Gulf*,LANTERN BASS,151,435
2015,Gulf*,LEATHERJACKETS,19,184
2015,Gulf*,LESSER ELECTRIC RAY,17,693
2015,Gulf*,LETTUCE SLUG,"6,108","4,842"
2015,Gulf*,LIMULUS,234,NA
2015,Gulf*,LINED SEAHORSE,"5,354","30,189"
2015,Gulf*,LIONFISHES,"74,494","328,117"
2015,Gulf*,LIONS-PAW SCALLOP,1,4
2015,Gulf*,LIZARDFISH FAMILY,6,NA
2015,Gulf*,"LOBSTER, CARIBBEAN SPINY","5,931,208","47,792,322"
2015,Gulf*,"LOBSTER, SLIPPER",531,687
2015,Gulf*,LONGFIN DAMSELFISH,9,14
2015,Gulf*,LONGNOSE GAR,"6,026","3,124"
2015,Gulf*,LONGSNOUT BUTTERFLYFISH,42,666
2015,Gulf*,LOOKDOWN,"8,308","41,012"
2015,Gulf*,LOXORHYNCHUS,"14,412","9,612"
2015,Gulf*,"MACKEREL SHARKS, UNCLASSIFIED","23,460","374,318"
2015,Gulf*,"MACKEREL, ATLANTIC","98,503","23,968"
2015,Gulf*,"MACKEREL, CERO","6,957","10,347"
2015,Gulf*,"MACKEREL, KING","4,312,401","9,030,985"
2015,Gulf*,"MACKEREL, SPANISH","2,928,267","3,384,833"
2015,Gulf*,MANTIS SHRIMP,"3,415","9,784"
2015,Gulf*,MANTIS SHRIMPS,673,"4,905"
2015,Gulf*,MARBLED BLENNY,76,110
2015,Gulf*,MARBLED GROUPER,109,261
2015,Gulf*,MARGINELLIDAE,"6,368",685
2015,Gulf*,MARINE WORM,19,75
2015,Gulf*,MEASLED COWRIE,40,66
2015,Gulf*,MENHADEN,"1,181,682,828","124,991,933"
2015,Gulf*,MENIPPE,"2,819,671","36,623,259"
2015,Gulf*,MESOGASTROPODA,439,299
2015,Gulf*,MIDNIGHT PARROTFISH,20,869
2015,Gulf*,MILK CONCH,74,100
2015,Gulf*,MITHRACULUS,338,265
2015,Gulf*,MITHRACULUS RUBER,"4,819","3,059"
2015,Gulf*,MITHRAX,"53,215","31,613"
2015,Gulf*,MOJARRAS,"317,422","376,154"
2015,Gulf*,"MOONFISH, ATLANTIC","55,048","44,229"
2015,Gulf*,"MULLET, STRIPED (LIZA)","12,064,901","8,253,425"
2015,Gulf*,"MULLET, WHITE","286,230","215,570"
2015,Gulf*,MULLETS,"74,045","185,410"
2015,Gulf*,MURICIDAE,"1,600","1,950"
2015,Gulf*,NAKED GOBY,9,9
2015,Gulf*,NASSARIUS,"290,950","46,031"
2015,Gulf*,NEON GOBY,"6,603","15,853"
2015,Gulf*,NERITIDAE,"160,285","42,824"
2015,Gulf*,NIMBLE SPRAY CRAB,"2,631","4,880"
2015,Gulf*,NORTH AMERICAN SOFTSHELL TURTLES,584,564
2015,Gulf*,NUDIBRANCHS,"7,069","8,502"
2015,Gulf*,OCEAN SURGEON,946,"5,575"
2015,Gulf*,OCELLATED FROGFISH,2,40
2015,Gulf*,OCTOPUS,"16,467","38,744"
2015,Gulf*,OILFISH,"4,517","4,529"
2015,Gulf*,OLIVIDAE,"3,154","1,691"
2015,Gulf*,OPAH,469,576
2015,Gulf*,ORANGECLAW HERMIT,"19,349","3,975"
2015,Gulf*,ORANGESPOTTED FILEFISH,64,397
2015,Gulf*,"OYSTER, EASTERN","16,690,590","96,378,149"
2015,Gulf*,PAGURISTES ERYTHROPS,5,3
2015,Gulf*,PAGURISTES PUNCTICEPS,387,102
2015,Gulf*,PAGUROIDEA,"161,522","59,110"
2015,Gulf*,PALAEMONETES,NA,NA
2015,Gulf*,PALYTHOA,"1,480","3,059"
2015,Gulf*,PARROTFISHES,"1,446","1,880"
2015,Gulf*,PEDERSON CLEANER SHRIMP,556,"1,623"
2015,Gulf*,PENAEUS,"2,216,787","10,663,358"
2015,Gulf*,PENICILLUS,"16,471","14,000"
2015,Gulf*,"PENS/PANSIES, SEA",121,"1,331"
2015,Gulf*,PEPPERMINT BASS,8,400
2015,Gulf*,PEPPERMINT SHRIMP,"1,064,749","278,505"
2015,Gulf*,PERIWINKLES,"15,982","1,521"
2015,Gulf*,PERMIT,"6,612","10,635"
2015,Gulf*,PIGFISH,"5,220","48,678"
2015,Gulf*,PILOTFISH,1,2
2015,Gulf*,PINFISH,"96,488","228,777"
2015,Gulf*,"PINFISH, SPOTTAIL",228,184
2015,Gulf*,PINNIDAE,181,"1,167"
2015,Gulf*,PIPEFISHES,675,"1,394"
2015,Gulf*,PLANEHEAD FILEFISH,"1,218","1,314"
2015,Gulf*,POLKADOTTED HERMIT,"6,235","2,550"
2015,Gulf*,POLYPLACOPHORA,"3,394","7,596"
2015,Gulf*,"POMFRETS, UNCLASSIFIED",100,225
2015,Gulf*,"POMPANO, AFRICAN","6,763","17,693"
2015,Gulf*,"POMPANO, FLORIDA","163,845","796,106"
2015,Gulf*,PORCUPINEFISH,575,"3,122"
2015,Gulf*,"PORGY, JOLTHEAD","29,796","39,739"
2015,Gulf*,"PORGY, KNOBBED","11,719","7,975"
2015,Gulf*,"PORGY, LITTLEHEAD",263,151
2015,Gulf*,"PORGY, LONGSPINE","6,003",906
2015,Gulf*,"PORGY, RED","267,892","397,097"
2015,Gulf*,"PORGY, WHITEBONE",NA,NA
2015,Gulf*,"PORGY,GRASS","2,512","2,721"
2015,Gulf*,PORKFISH,"4,597","19,059"
2015,Gulf*,PRINCESS PARROTFISH,208,"1,854"
2015,Gulf*,PROCAMBARUS,"5,460,963","6,852,292"
2015,Gulf*,PUDDINGWIFE (WRASSE),54,357
2015,Gulf*,PUFFERS,"2,570","5,043"
2015,Gulf*,PURPLE REEFFISH,"1,559","2,153"
2015,Gulf*,PURPLE-SPINED SEA URCHIN,"5,152","25,195"
2015,Gulf*,QUEEN ANGELFISH,"4,302","99,123"
2015,Gulf*,RAINBOW PARROTFISH,46,"1,880"
2015,Gulf*,RANELLIDAE,1,5
2015,Gulf*,"RAVEN, SEA",NA,NA
2015,Gulf*,"RAY,STINGRAYS","6,654","25,195"
2015,Gulf*,RAYS,"3,485","5,455"
2015,Gulf*,"RAYS, BUTTERFLY",3,248
2015,Gulf*,RED BEADED ANEMONE,"24,342","101,068"
2015,Gulf*,RED BREAM,85,192
2015,Gulf*,RED-RIDGED CLINGING CRAB,"2,175","2,783"
2015,Gulf*,REDBAND PARROTFISH,122,687
2015,Gulf*,REDFINGER RUBBLE CRAB,428,541
2015,Gulf*,REDFISHES,NA,NA
2015,Gulf*,REDLIP BLENNY,25,67
2015,Gulf*,REDSPOTTED HAWKFISH,300,456
2015,Gulf*,REEF BUTTERFLYFISH,642,"3,015"
2015,Gulf*,REEF CROAKER,74,"1,394"
2015,Gulf*,REEF SCORPIONFISH,537,"1,533"
2015,Gulf*,REEF SQUIRRELFISH,276,"2,497"
2015,Gulf*,REMORA FAMILY,18,78
2015,Gulf*,RINGED ANEMONE,494,846
2015,Gulf*,ROCK BEAUTY,"4,537","29,382"
2015,Gulf*,ROCK BORING URCHIN,"7,644","5,709"
2015,Gulf*,ROCK SHRIMP,"1,438,140","2,350,233"
2015,Gulf*,"ROSEFISH, BLACKBELLY","6,116","17,195"
2015,Gulf*,ROUGHTONGUE BASS,100,"5,000"
2015,Gulf*,"RUDDERFISH, BANDED","66,607","56,581"
2015,Gulf*,"RUNNER, BLUE","325,945","266,142"
2015,Gulf*,"RUNNER, RAINBOW",126,153
2015,Gulf*,SABELLIDAE,94,455
2015,Gulf*,SADDLED BLENNY,135,270
2015,Gulf*,SAILFIN BLENNY,"2,000","5,192"
2015,Gulf*,SAND CRABS,"7,826","66,104"
2015,Gulf*,SAND PERCH,694,"2,683"
2015,Gulf*,"SAND PERCH, DWARF",2,3
2015,Gulf*,"SARDINE, SPANISH","1,339,497","250,965"
2015,Gulf*,SARGASSUM PIPEFISH,733,"1,824"
2015,Gulf*,SARGASSUMFISH,25,163
2015,Gulf*,"SCAD, BIGEYE","308,396","356,512"
2015,Gulf*,"SCAD, ROUND","316,031","243,594"
2015,Gulf*,SCADS,NA,NA
2015,Gulf*,SCALED SARDINE,"13,388","72,267"
2015,Gulf*,SCALLOPS,739,"2,551"
2015,Gulf*,SCALY BRITTLE STAR,"12,658","15,858"
2015,Gulf*,SCAMP,"242,922","984,370"
2015,Gulf*,"SCORPIONFISH, SPINYCHEEK",NA,NA
2015,Gulf*,SCORPIONFISHES,"3,846","5,855"
2015,Gulf*,SCRAWLED COWFISH,"1,647","1,451"
2015,Gulf*,SCRAWLED FILEFISH,45,780
2015,Gulf*,SCUPS OR PORGIES,"127,876","154,859"
2015,Gulf*,SCYLLARIDES,893,"3,617"
2015,Gulf*,SEA CHUBS,NA,NA
2015,Gulf*,"SEA URCHINS, UNCLASSIFIED","3,528","4,895"
2015,Gulf*,SEAHORSE GENUS,173,779
2015,Gulf*,SEAROBINS,617,"1,047"
2015,Gulf*,"SEATROUT, SAND","18,614","12,244"
2015,Gulf*,"SEATROUT, SPOTTED","77,616","212,568"
2015,Gulf*,"SEATROUT, WEAKFISH","5,935","10,911"
2015,Gulf*,SERGEANT MAJOR,269,780
2015,Gulf*,SERPULIDAE,53,363
2015,Gulf*,SESSILE TUNICATES,709,"1,549"
2015,Gulf*,"SHAD, GIZZARD","850,929","362,576"
2015,Gulf*,"SHAD, THREADFIN",NA,NA
2015,Gulf*,"SHARK, ATLANTIC SHARPNOSE","127,917","103,871"
2015,Gulf*,"SHARK, BIGEYE THRESHER",NA,NA
2015,Gulf*,"SHARK, BLACKNOSE","60,374","43,890"
2015,Gulf*,"SHARK, BLACKTIP","223,848","135,385"
2015,Gulf*,"SHARK, BONNETHEAD","6,865","13,456"
2015,Gulf*,"SHARK, BULL","37,228","17,825"
2015,Gulf*,"SHARK, FINETOOTH","8,454","6,716"
2015,Gulf*,"SHARK, GREAT HAMMERHEAD","28,345","5,411"
2015,Gulf*,"SHARK, LEMON","34,920","15,912"
2015,Gulf*,"SHARK, NURSE",43,"4,290"
2015,Gulf*,"SHARK, SANDBAR","197,594","92,293"
2015,Gulf*,"SHARK, SCALLOPED HAMMERHEAD","16,590","8,597"
2015,Gulf*,"SHARK, SHORTFIN MAKO","18,296","25,482"
2015,Gulf*,"SHARK, SILKY","2,446","1,140"
2015,Gulf*,"SHARK, SMOOTH DOGFISH",NA,NA
2015,Gulf*,"SHARK, SPINNER","4,893","2,878"
2015,Gulf*,"SHARK, TIGER","24,076","11,641"
2015,Gulf*,"SHARKS, UNCLASSIFIED","1,853,404","715,978"
2015,Gulf*,SHARKSUCKER,2,12
2015,Gulf*,SHARPNOSE PUFFER,956,"1,942"
2015,Gulf*,SHARPTAIL EEL,3,24
2015,Gulf*,SHEEPSHEAD,"1,232,618","807,536"
2015,Gulf*,"SHELLFISH,UNCLASSIFIED,MARINE,ORNAMENTAL","89,942","22,425"
2015,Gulf*,SHORTNOSE GAR,NA,NA
2015,Gulf*,"SHRIMP, BROWN","106,886,940","161,543,251"
2015,Gulf*,"SHRIMP, DENDROBRANCHIATA","318,699","517,694"
2015,Gulf*,"SHRIMP, FARFANTEPENAEUS SPP","1,103,433","4,288,639"
2015,Gulf*,"SHRIMP, FW",NA,NA
2015,Gulf*,"SHRIMP, MARINE, OTHER","535,259","1,468,691"
2015,Gulf*,"SHRIMP, PINK","8,806,154","20,746,170"
2015,Gulf*,"SHRIMP, ROCK","119,603","176,207"
2015,Gulf*,"SHRIMP, ROYAL RED","635,406","1,789,258"
2015,Gulf*,"SHRIMP, SEABOB","1,144,480","661,324"
2015,Gulf*,"SHRIMP, WHITE","88,610,577","160,941,432"
2015,Gulf*,"SHRIMP,ATLANTIC & GULF,ROUGHNECK",NA,NA
2015,Gulf*,SILVER CARP,"178,474","27,253"
2015,Gulf*,SILVER SEATROUT,"9,587","8,868"
2015,Gulf*,SLATE PENCIL URCHIN,"7,088","6,124"
2015,Gulf*,SLIPPERY DICK,290,899
2015,Gulf*,"SNAIL, MOON",2,29
2015,Gulf*,SNAILS,"304,622","83,444"
2015,Gulf*,SNAPPER CARIBBEAN RED,95,399
2015,Gulf*,"SNAPPER, BLACK",111,500
2015,Gulf*,"SNAPPER, BLACKFIN","7,816","23,862"
2015,Gulf*,"SNAPPER, CUBERA","2,863","6,271"
2015,Gulf*,"SNAPPER, DOG",592,"1,476"
2015,Gulf*,"SNAPPER, GRAY","326,181","869,682"
2015,Gulf*,"SNAPPER, LANE","48,558","109,816"
2015,Gulf*,"SNAPPER, MAHOGANY",15,38
2015,Gulf*,"SNAPPER, MUTTON","223,661","608,998"
2015,Gulf*,"SNAPPER, QUEEN","11,474","37,469"
2015,Gulf*,"SNAPPER, RED","6,560,623","26,798,239"
2015,Gulf*,"SNAPPER, SCHOOLMASTER",86,270
2015,Gulf*,"SNAPPER, SILK","27,078","90,713"
2015,Gulf*,"SNAPPER, VERMILION","1,723,199","5,097,471"
2015,Gulf*,"SNAPPER, YELLOWTAIL","2,198,610","6,674,795"
2015,Gulf*,SNAPPERS,"5,254","14,574"
2015,Gulf*,SOUTHERN PUFFER,41,421
2015,Gulf*,SOUTHERN QUAHOG,"31,158","249,229"
2015,Gulf*,SOUTHERN STINGRAY,31,"1,507"
2015,Gulf*,SPADEFISHES,NA,NA
2015,Gulf*,SPANISH HOGFISH,63,"1,156"
2015,Gulf*,SPINY FILECLAM,409,659
2015,Gulf*,SPINY SEA STAR,"44,369","6,399"
2015,Gulf*,SPIROBRANCHUS GIGANTEUS,56,275
2015,Gulf*,"SPONGE, GRASS","22,799","46,159"
2015,Gulf*,"SPONGE, YELLOW","178,954","218,765"
2015,Gulf*,SPONGES,"9,183","29,491"
