predator,prey name,ja.avail.ratio,index,name,predator name,predator type,prey type,availability,mean_av,min_av,max_av
MUL,gag grouper,0,67,pPREY1MUL2,mullets,adult,juvenile,0,7.996890624515312e-4,0,0.0461493879556656
MUL,gag grouper,0,68,pPREY2MUL2,mullets,adult,adult,0,7.996890624515312e-4,0,0.0461493879556656
POM,gag grouper,0,71,pPREY1POM2,pompano,adult,juvenile,0,0.0010691412281520572,0,0.0464877001941204
POM,gag grouper,0,72,pPREY2POM2,pompano,adult,adult,0,0.0010691412281520572,0,0.0464877001941204
SHP,gag grouper,0,75,pPREY1SHP2,sheepshead,adult,juvenile,0,0.0018429323240923589,0,0.280000001192093
SHP,gag grouper,0,76,pPREY2SHP2,sheepshead,adult,adult,0,0.0018429323240923589,0,0.280000001192093
SNK,gag grouper,0,79,pPREY1SNK2,snook,adult,juvenile,0,0.007367061848117459,0,0.4
SNK,gag grouper,0,80,pPREY2SNK2,snook,adult,adult,0,0.007367061848117459,0,0.4
FLT,gag grouper,0,83,pPREY1FLT2,flatfish,adult,juvenile,0,0.002271388034520254,0,0.224000006914139
FLT,gag grouper,0,84,pPREY2FLT2,flatfish,adult,adult,0,0.002271388034520254,0,0.224000006914139
ODF,gag grouper,0,87,pPREY1ODF2,other demersal fish,adult,juvenile,0,0.008085361496678817,0,0.4
ODF,gag grouper,0,88,pPREY2ODF2,other demersal fish,adult,adult,0,0.008085361496678817,0,0.4
SDF,gag grouper,0,91,pPREY1SDF2,small demersal fish,adult,juvenile,0,0.003930394182163162,0,0.365446835756302
SDF,gag grouper,0,92,pPREY2SDF2,small demersal fish,adult,adult,0,0.003930394182163162,0,0.365446835756302
YTN,gag grouper,0,95,pPREY1YTN2,yellowfin tuna,adult,juvenile,0,0.01685461421438765,0,0.4
YTN,gag grouper,0,96,pPREY2YTN2,yellowfin tuna,adult,adult,0,0.01685461421438765,0,0.4
BTN,gag grouper,0,99,pPREY1BTN2,bluefin tuna,adult,juvenile,0.4,0.02881371888640719,0,0.4
BTN,gag grouper,0,100,pPREY2BTN2,bluefin tuna,adult,adult,0,0.02881371888640719,0,0.4
LTN,gag grouper,0,103,pPREY1LTN2,little tunny,adult,juvenile,0.209952011704445,0.020959437043112556,0,0.4
LTN,gag grouper,0,104,pPREY2LTN2,little tunny,adult,adult,0,0.020959437043112556,0,0.4
OTN,gag grouper,0,107,pPREY1OTN2,other tuna,adult,juvenile,0,0.005317561204625147,0,0.4
OTN,gag grouper,0,108,pPREY2OTN2,other tuna,adult,adult,0,0.005317561204625147,0,0.4
SWD,gag grouper,0,111,pPREY1SWD2,swordfish,adult,juvenile,0,0.011263179046921113,0,0.5
SWD,gag grouper,0,112,pPREY2SWD2,swordfish,adult,adult,0,0.011263179046921113,0,0.5
WMR,gag grouper,0,115,pPREY1WMR2,white marlin,adult,juvenile,0,0.004781315824092191,0,0.4
WMR,gag grouper,0,116,pPREY2WMR2,white marlin,adult,adult,0,0.004781315824092191,0,0.4
BMR,gag grouper,0,119,pPREY1BMR2,blue marlin,adult,juvenile,0,0.006870783659758944,0,0.4
BMR,gag grouper,0,120,pPREY2BMR2,blue marlin,adult,adult,0,0.006870783659758944,0,0.4
BIL,gag grouper,0,123,pPREY1BIL2,other billfish,adult,juvenile,0,0.007601421123430595,0,0.4
BIL,gag grouper,0,124,pPREY2BIL2,other billfish,adult,adult,0,0.007601421123430595,0,0.4
AMB,gag grouper,0,127,pPREY1AMB2,greater amberjack,adult,juvenile,0,0.013514059397052636,0,0.400000005960464
AMB,gag grouper,0,128,pPREY2AMB2,greater amberjack,adult,adult,0,0.013514059397052636,0,0.400000005960464
JCK,gag grouper,0,131,pPREY1JCK2,jacks,adult,juvenile,0,0.00400246994695737,0,0.4
JCK,gag grouper,0,132,pPREY2JCK2,jacks,adult,adult,0,0.00400246994695737,0,0.4
KMK,gag grouper,0,135,pPREY1KMK2,king mackerel,adult,juvenile,0,0.018053418194077447,0,0.4
KMK,gag grouper,0,136,pPREY2KMK2,king mackerel,adult,adult,0,0.018053418194077447,0,0.4
SMK,gag grouper,0,139,pPREY1SMK2,spanish mackerel,adult,juvenile,0,0.009550111566070645,0,0.4
SMK,gag grouper,0,140,pPREY2SMK2,spanish mackerel,adult,adult,0,0.009550111566070645,0,0.4
SAR,gag grouper,0,143,pPREY1SAR2,spanish sardine,adult,juvenile,0,0.009175764205870195,0,0.400000005960464
SAR,gag grouper,0,144,pPREY2SAR2,spanish sardine,adult,adult,0,0.009175764205870195,0,0.400000005960464
LPL,gag grouper,0,147,pPREY1LPL2,large pelagic fish,adult,juvenile,0.4,0.014335129641767584,0,0.4
LPL,gag grouper,0,148,pPREY2LPL2,large pelagic fish,adult,adult,0,0.014335129641767584,0,0.4
DWF,gag grouper,0,151,pPREY1DWF2,deep water fish,adult,juvenile,0,0.001852393292477211,0,0.236013755202293
DWF,gag grouper,0,152,pPREY2DWF2,deep water fish,adult,adult,0,0.001852393292477211,0,0.236013755202293
MEN,gag grouper,0,155,pPREY1MEN2,menhaden,adult,juvenile,0,0.0020275224066261567,0,0.0851999968290329
MEN,gag grouper,0,156,pPREY2MEN2,menhaden,adult,adult,0,0.0020275224066261567,0,0.0851999968290329
PIN,gag grouper,0,159,pPREY1PIN2,pinfish,adult,juvenile,0,0.002476405269580205,0,0.312740981578827
PIN,gag grouper,0,160,pPREY2PIN2,pinfish,adult,adult,0,0.002476405269580205,0,0.312740981578827
MPL,gag grouper,0,163,pPREY1MPL2,medium pelagic fish,adult,juvenile,0,0.002782169414997465,0,0.28125
MPL,gag grouper,0,164,pPREY2MPL2,medium pelagic fish,adult,adult,0,0.002782169414997465,0,0.28125
SPL,gag grouper,0,167,pPREY1SPL2,small pelagic fish,adult,juvenile,0,0.0019389871896479357,0,0.280000001192093
SPL,gag grouper,0,168,pPREY2SPL2,small pelagic fish,adult,adult,0,0.0019389871896479357,0,0.280000001192093
TIP,gag grouper,2777142.8413133123,171,pPREY1TIP2,blacktip shark,adult,juvenile,0.116640008985996,0.008938471447216472,0,0.388799995183945
TIP,gag grouper,2777142.8413133123,172,pPREY2TIP2,blacktip shark,adult,adult,4.20000034750956e-8,0.008938471447216472,0,0.388799995183945
BEN,gag grouper,0,175,pPREY1BEN2,benthic feeding sharks,adult,juvenile,0,0.007351421617162635,0,0.4
BEN,gag grouper,0,176,pPREY2BEN2,benthic feeding sharks,adult,adult,0,0.007351421617162635,0,0.4
LGS,gag grouper,2777142.613234347,179,pPREY1LGS2,large sharks,adult,juvenile,0.16329599916935,0.01310897720297144,0,0.4
LGS,gag grouper,2777142.613234347,180,pPREY2LGS2,large sharks,adult,adult,5.88000048651338e-8,0.01310897720297144,0,0.4
FIL,gag grouper,0,183,pPREY1FIL2,filter feeding sharks,adult,juvenile,0,0.010343475244174899,0,0.400000005960464
FIL,gag grouper,0,184,pPREY2FIL2,filter feeding sharks,adult,adult,0,0.010343475244174899,0,0.400000005960464
SMS,gag grouper,0,187,pPREY1SMS2,small sharks,adult,juvenile,0,0.003926910599777132,0,0.4
SMS,gag grouper,0,188,pPREY2SMS2,small sharks,adult,adult,0,0.003926910599777132,0,0.4
RAY,gag grouper,0,191,pPREY1RAY2,skates and rays,adult,juvenile,0,0.003023520048827739,0,0.230579987168312
RAY,gag grouper,0,192,pPREY2RAY2,skates and rays,adult,adult,0,0.003023520048827739,0,0.230579987168312
BSH,gag grouper,0,195,pPREY1BSH2,brown shrimp,adult,juvenile,0,0.0021571768950158377,0,0.172799989581108
BSH,gag grouper,0,196,pPREY2BSH2,brown shrimp,adult,adult,0,0.0021571768950158377,0,0.172799989581108
WSH,gag grouper,0,199,pPREY1WSH2,white shrimp,adult,juvenile,0,0.0034963042677662345,0,0.1
WSH,gag grouper,0,200,pPREY2WSH2,white shrimp,adult,adult,0,0.0034963042677662345,0,0.1
PSH,gag grouper,0,203,pPREY1PSH2,pink shrimp,adult,juvenile,0,0.003969511464712663,0,0.1
PSH,gag grouper,0,204,pPREY2PSH2,pink shrimp,adult,adult,0,0.003969511464712663,0,0.1
OSH,gag grouper,0,207,pPREY1OSH2,other shrimp,adult,juvenile,0,0.0024655542383202438,0,0.112499997019768
OSH,gag grouper,0,208,pPREY2OSH2,other shrimp,adult,adult,0,0.0024655542383202438,0,0.112499997019768
DBR,gag grouper,0,211,pPREY1DBR2,diving birds,adult,juvenile,0,0.009878776333380692,0,0.4
DBR,gag grouper,0,212,pPREY2DBR2,diving birds,adult,adult,0,0.009878776333380692,0,0.4
SBR,gag grouper,0,215,pPREY1SBR2,surface feeding birds,adult,juvenile,0,0.005177204055484092,0,0.389697760343552
SBR,gag grouper,0,216,pPREY2SBR2,surface feeding birds,adult,adult,0,0.005177204055484092,0,0.389697760343552
MAN,gag grouper,0,219,pPREY1MAN2,manatee,adult,juvenile,0,0.007074468188294935,0,0.200000002980232
MAN,gag grouper,0,220,pPREY2MAN2,manatee,adult,adult,0,0.007074468188294935,0,0.200000002980232
MYS,gag grouper,0,223,pPREY1MYS2,mysticeti,adult,juvenile,0,0.005533542707035106,0,0.300000011920929
MYS,gag grouper,0,224,pPREY2MYS2,mysticeti,adult,adult,0,0.005533542707035106,0,0.300000011920929
DOL,gag grouper,0,227,pPREY1DOL2,dolphins and porpoises,adult,juvenile,0,0.009733429139218158,0,0.4
DOL,gag grouper,0,228,pPREY2DOL2,dolphins and porpoises,adult,adult,0,0.009733429139218158,0,0.4
DDO,gag grouper,0,231,pPREY1DDO2,deep diving odontocetae,adult,juvenile,0,0.0037324546547922374,0,0.4
DDO,gag grouper,0,232,pPREY2DDO2,deep diving odontocetae,adult,adult,0,0.0037324546547922374,0,0.4
LOG,gag grouper,0,235,pPREY1LOG2,loggerhead,adult,juvenile,0,0.003658857819202318,0,0.300000011920929
LOG,gag grouper,0,236,pPREY2LOG2,loggerhead,adult,adult,0,0.003658857819202318,0,0.300000011920929
KMP,gag grouper,0,239,pPREY1KMP2,kemps ridley,adult,juvenile,0,5.953013685133881e-4,0,0.0566999986767769
KMP,gag grouper,0,240,pPREY2KMP2,kemps ridley,adult,adult,0,5.953013685133881e-4,0,0.0566999986767769
TUR,gag grouper,0,243,pPREY1TUR2,other turtles,adult,juvenile,0,4.411527851192898e-4,0,0.0599999986588955
TUR,gag grouper,0,244,pPREY2TUR2,other turtles,adult,adult,0,4.411527851192898e-4,0,0.0599999986588955
BCR,gag grouper,NA,245,pPREYBCR,blue crab,adult,adult,0,0.002295565226320898,0,0.150000005960464
SCR,gag grouper,NA,246,pPREYSCR,stone crab,adult,adult,0,0.0020881184135301393,0,0.150000005960464
LOB,gag grouper,NA,247,pPREYLOB,crabs and lobsters,adult,adult,0,0.001657533214045498,0,0.0999249964952469
SPG,gag grouper,NA,248,pPREYSPG,sponges,adult,adult,0,9.08520298829489e-4,0,0.0399999991059303
CMB,gag grouper,NA,249,pPREYCMB,carnivorous macrobenthos,adult,adult,0,0.004676787743242909,0,0.200000002980232
INF,gag grouper,NA,250,pPREYINF,infaunal meiobenthos,adult,adult,0,0.002579532363291959,0,0.0799999982118607
ECH,gag grouper,NA,251,pPREYECH,herbivorous echinoderms,adult,adult,0,0.0010627659779674909,0,0.0998999997973442
OYS,gag grouper,NA,252,pPREYOYS,oysters,adult,adult,0,0.006436383033012147,0,0.200000002980232
BIV,gag grouper,NA,253,pPREYBIV,bivalves,adult,adult,0,0.0012937297582347942,0,0.0799999982118607
SES,gag grouper,NA,254,pPREYSES,sessile filter feeders,adult,adult,0,0.005372553229925808,0,0.200000002980232
DIN,gag grouper,NA,255,pPREYDIN,toxic dinoflagellates,adult,adult,0,2.3829788180127554e-5,0,0.0020000000949949
PRO,gag grouper,NA,256,pPREYPRO,protists,adult,adult,0,0.002010751643604801,0,0.0900000035762787
JEL,gag grouper,NA,257,pPREYJEL,jellyfish,adult,adult,0,1.387437564816487e-4,0,0.00999999977648258
SQU,gag grouper,NA,258,pPREYSQU,squid,adult,adult,0,1.4590045021794465e-4,0,0.00999999977648258
LZP,gag grouper,NA,259,pPREYLZP,large zooplankton,adult,adult,0,9.74596101817648e-4,0,0.0900000035762787
SZP,gag grouper,NA,260,pPREYSZP,small zooplankton,adult,adult,0,9.896772721736259e-4,0,0.0900000035762787
PB,gag grouper,NA,261,pPREYPB,bacteria,adult,adult,0,0.0011399952344117704,0,0.0999950021505356
BB,gag grouper,NA,262,pPREYBB,sediment bacteria,adult,adult,0,0.0012020803408378559,0,0.0999950021505356
GAG,red grouper,0,3,pPREY1GAG2,gag grouper,adult,juvenile,0,0.012548732114075735,0,0.4
GAG,red grouper,0,4,pPREY2GAG2,gag grouper,adult,adult,0,0.012548732114075735,0,0.4
RGR,red grouper,642.8570904459955,7,pPREY1RGR2,red grouper,adult,juvenile,6.12359959632158e-4,0.020951561032141512,0,0.4
RGR,red grouper,642.8570904459955,8,pPREY2RGR2,red grouper,adult,adult,9.52560014866322e-7,0.020951561032141512,0,0.4
SCM,red grouper,642.8570748283686,11,pPREY1SCM2,scamp,adult,juvenile,0.00174960005097091,0.02494856582037302,0,0.4
SCM,red grouper,642.8570748283686,12,pPREY2SCM2,scamp,adult,adult,2.72160036729474e-6,0.02494856582037302,0,0.4
SSR,red grouper,1928.5714027125325,15,pPREY1SSR2,shallow serranidae,adult,juvenile,3.93660047848243e-5,0.006225914857619887,0,0.277136623859406
SSR,red grouper,1928.5714027125325,16,pPREY2SSR2,shallow serranidae,adult,adult,2.04120027547106e-8,0.006225914857619887,0,0.277136623859406
DSR,red grouper,482.142858954402,19,pPREY1DSR2,deep serranidae,adult,juvenile,1.46966398460791e-4,0.02321533464012054,0,0.4
DSR,red grouper,482.142858954402,20,pPREY2DSR2,deep serranidae,adult,adult,3.04819195662276e-7,0.02321533464012054,0,0.4
RSN,red grouper,642.8570926105,23,pPREY1RSN2,red snapper,adult,juvenile,1.25971200759523e-5,0.00973902701397473,0,0.4
RSN,red grouper,642.8570926105,24,pPREY2RSN2,red snapper,adult,adult,1.95955216497623e-8,0.00973902701397473,0,0.4
VSN,red grouper,642.8570496920553,27,pPREY1VSN2,vermilion snapper,adult,juvenile,2.57191168202553e-5,0.008080765895336316,0,0.318937480449677
VSN,red grouper,642.8570496920553,28,pPREY2VSN2,vermilion snapper,adult,adult,4.00075208517592e-8,0.008080765895336316,0,0.318937480449677
LUT,red grouper,0,31,pPREY1LUT2,lutjanidae,adult,juvenile,4.20997494074982e-5,0.00893843303524281,0,0.4
LUT,red grouper,0,32,pPREY2LUT2,lutjanidae,adult,adult,0,0.00893843303524281,0,0.4
BIO,red grouper,0,35,pPREY1BIO2,bioeroding fish,adult,juvenile,0,0.001325245355329917,0,0.0839999988675117
BIO,red grouper,0,36,pPREY2BIO2,bioeroding fish,adult,adult,0,0.001325245355329917,0,0.0839999988675117
LRF,red grouper,0.12857141346266618,39,pPREY1LRF2,large reef fish,adult,juvenile,9.95084974420024e-7,0.005350835054222534,0,0.4
LRF,red grouper,0.12857141346266618,40,pPREY2LRF2,large reef fish,adult,adult,7.73955071053933e-6,0.005350835054222534,0,0.4
SRF,red grouper,0,43,pPREY1SRF2,small reef fish,adult,juvenile,0,0.010959125060162622,0,0.4
SRF,red grouper,0,44,pPREY2SRF2,small reef fish,adult,adult,0,0.010959125060162622,0,0.4
BDR,red grouper,0,47,pPREY1BDR2,black drum,adult,juvenile,1.74959986907197e-5,0.005177249600295398,0,0.4
BDR,red grouper,0,48,pPREY2BDR2,black drum,adult,adult,0,0.005177249600295398,0,0.4
RDR,red grouper,0,51,pPREY1RDR2,red drum,adult,juvenile,8.5293002484832e-5,0.0172068160219246,0,0.4
RDR,red grouper,0,52,pPREY2RDR2,red drum,adult,adult,0,0.0172068160219246,0,0.4
SEA,red grouper,0,55,pPREY1SEA2,seatrout,adult,juvenile,6.1235994053277e-7,0.006731622274894689,0,0.4
SEA,red grouper,0,56,pPREY2SEA2,seatrout,adult,adult,0,0.006731622274894689,0,0.4
SCI,red grouper,0,59,pPREY1SCI2,sciaenidae,adult,juvenile,0,0.002335373208255513,0,0.151779532432556
SCI,red grouper,0,60,pPREY2SCI2,sciaenidae,adult,adult,0,0.002335373208255513,0,0.151779532432556
LDY,red grouper,0,63,pPREY1LDY2,ladyfish,adult,juvenile,0,0.0040466363210868595,0,0.4
LDY,red grouper,0,64,pPREY2LDY2,ladyfish,adult,adult,0,0.0040466363210868595,0,0.4
MUL,red grouper,0,67,pPREY1MUL2,mullets,adult,juvenile,0,7.996890624515312e-4,0,0.0461493879556656
MUL,red grouper,0,68,pPREY2MUL2,mullets,adult,adult,0,7.996890624515312e-4,0,0.0461493879556656
POM,red grouper,0,71,pPREY1POM2,pompano,adult,juvenile,0,0.0010691412281520572,0,0.0464877001941204
POM,red grouper,0,72,pPREY2POM2,pompano,adult,adult,0,0.0010691412281520572,0,0.0464877001941204
SHP,red grouper,0,75,pPREY1SHP2,sheepshead,adult,juvenile,0,0.0018429323240923589,0,0.280000001192093
SHP,red grouper,0,76,pPREY2SHP2,sheepshead,adult,adult,0,0.0018429323240923589,0,0.280000001192093
SNK,red grouper,0,79,pPREY1SNK2,snook,adult,juvenile,0,0.007367061848117459,0,0.4
SNK,red grouper,0,80,pPREY2SNK2,snook,adult,adult,0,0.007367061848117459,0,0.4
FLT,red grouper,0,83,pPREY1FLT2,flatfish,adult,juvenile,0,0.002271388034520254,0,0.224000006914139
FLT,red grouper,0,84,pPREY2FLT2,flatfish,adult,adult,0,0.002271388034520254,0,0.224000006914139
ODF,red grouper,0,87,pPREY1ODF2,other demersal fish,adult,juvenile,0,0.008085361496678817,0,0.4
ODF,red grouper,0,88,pPREY2ODF2,other demersal fish,adult,adult,0,0.008085361496678817,0,0.4
SDF,red grouper,0,91,pPREY1SDF2,small demersal fish,adult,juvenile,0,0.003930394182163162,0,0.365446835756302
SDF,red grouper,0,92,pPREY2SDF2,small demersal fish,adult,adult,0,0.003930394182163162,0,0.365446835756302
YTN,red grouper,0,95,pPREY1YTN2,yellowfin tuna,adult,juvenile,0,0.01685461421438765,0,0.4
YTN,red grouper,0,96,pPREY2YTN2,yellowfin tuna,adult,adult,0,0.01685461421438765,0,0.4
BTN,red grouper,0,99,pPREY1BTN2,bluefin tuna,adult,juvenile,9.18539939448237e-4,0.02881371888640719,0,0.4
BTN,red grouper,0,100,pPREY2BTN2,bluefin tuna,adult,adult,0,0.02881371888640719,0,0.4
LTN,red grouper,0,103,pPREY1LTN2,little tunny,adult,juvenile,3.28049995005131e-4,0.020959437043112556,0,0.4
LTN,red grouper,0,104,pPREY2LTN2,little tunny,adult,adult,0,0.020959437043112556,0,0.4
OTN,red grouper,0,107,pPREY1OTN2,other tuna,adult,juvenile,0,0.005317561204625147,0,0.4
OTN,red grouper,0,108,pPREY2OTN2,other tuna,adult,adult,0,0.005317561204625147,0,0.4
SWD,red grouper,0,111,pPREY1SWD2,swordfish,adult,juvenile,0,0.011263179046921113,0,0.5
SWD,red grouper,0,112,pPREY2SWD2,swordfish,adult,adult,0,0.011263179046921113,0,0.5
WMR,red grouper,0,115,pPREY1WMR2,white marlin,adult,juvenile,0,0.004781315824092191,0,0.4
WMR,red grouper,0,116,pPREY2WMR2,white marlin,adult,adult,0,0.004781315824092191,0,0.4
BMR,red grouper,0,119,pPREY1BMR2,blue marlin,adult,juvenile,0,0.006870783659758944,0,0.4
BMR,red grouper,0,120,pPREY2BMR2,blue marlin,adult,adult,0,0.006870783659758944,0,0.4
BIL,red grouper,0,123,pPREY1BIL2,other billfish,adult,juvenile,0,0.007601421123430595,0,0.4
BIL,red grouper,0,124,pPREY2BIL2,other billfish,adult,adult,0,0.007601421123430595,0,0.4
AMB,red grouper,0,127,pPREY1AMB2,greater amberjack,adult,juvenile,0,0.013514059397052636,0,0.400000005960464
AMB,red grouper,0,128,pPREY2AMB2,greater amberjack,adult,adult,0,0.013514059397052636,0,0.400000005960464
JCK,red grouper,0,131,pPREY1JCK2,jacks,adult,juvenile,0,0.00400246994695737,0,0.4
JCK,red grouper,0,132,pPREY2JCK2,jacks,adult,adult,0,0.00400246994695737,0,0.4
KMK,red grouper,0,135,pPREY1KMK2,king mackerel,adult,juvenile,0,0.018053418194077447,0,0.4
KMK,red grouper,0,136,pPREY2KMK2,king mackerel,adult,adult,0,0.018053418194077447,0,0.4
SMK,red grouper,0,139,pPREY1SMK2,spanish mackerel,adult,juvenile,0,0.009550111566070645,0,0.4
SMK,red grouper,0,140,pPREY2SMK2,spanish mackerel,adult,adult,0,0.009550111566070645,0,0.4
SAR,red grouper,0,143,pPREY1SAR2,spanish sardine,adult,juvenile,0,0.009175764205870195,0,0.400000005960464
SAR,red grouper,0,144,pPREY2SAR2,spanish sardine,adult,adult,0,0.009175764205870195,0,0.400000005960464
LPL,red grouper,0,147,pPREY1LPL2,large pelagic fish,adult,juvenile,7.34831919544376e-5,0.014335129641767584,0,0.4
LPL,red grouper,0,148,pPREY2LPL2,large pelagic fish,adult,adult,0,0.014335129641767584,0,0.4
DWF,red grouper,0,151,pPREY1DWF2,deep water fish,adult,juvenile,0,0.001852393292477211,0,0.236013755202293
DWF,red grouper,0,152,pPREY2DWF2,deep water fish,adult,adult,0,0.001852393292477211,0,0.236013755202293
MEN,red grouper,0,155,pPREY1MEN2,menhaden,adult,juvenile,0,0.0020275224066261567,0,0.0851999968290329
MEN,red grouper,0,156,pPREY2MEN2,menhaden,adult,adult,0,0.0020275224066261567,0,0.0851999968290329
PIN,red grouper,0,159,pPREY1PIN2,pinfish,adult,juvenile,0,0.002476405269580205,0,0.312740981578827
PIN,red grouper,0,160,pPREY2PIN2,pinfish,adult,adult,0,0.002476405269580205,0,0.312740981578827
MPL,red grouper,0,163,pPREY1MPL2,medium pelagic fish,adult,juvenile,0,0.002782169414997465,0,0.28125
MPL,red grouper,0,164,pPREY2MPL2,medium pelagic fish,adult,adult,0,0.002782169414997465,0,0.28125
SPL,red grouper,0,167,pPREY1SPL2,small pelagic fish,adult,juvenile,0,0.0019389871896479357,0,0.280000001192093
SPL,red grouper,0,168,pPREY2SPL2,small pelagic fish,adult,adult,0,0.0019389871896479357,0,0.280000001192093
TIP,red grouper,4.183216380627894,171,pPREY1TIP2,blacktip shark,adult,juvenile,4.86000026285183e-5,0.008938471447216472,0,0.388799995183945
TIP,red grouper,4.183216380627894,172,pPREY2TIP2,blacktip shark,adult,adult,1.16178553071222e-5,0.008938471447216472,0,0.388799995183945
BEN,red grouper,0,175,pPREY1BEN2,benthic feeding sharks,adult,juvenile,0,0.007351421617162635,0,0.4
BEN,red grouper,0,176,pPREY2BEN2,benthic feeding sharks,adult,adult,0,0.007351421617162635,0,0.4
LGS,red grouper,4.183216846407257,179,pPREY1LGS2,large sharks,adult,juvenile,1.36080008815043e-4,0.01310897720297144,0,0.4
LGS,red grouper,4.183216846407257,180,pPREY2LGS2,large sharks,adult,adult,3.25299915857613e-5,0.01310897720297144,0,0.4
FIL,red grouper,0,183,pPREY1FIL2,filter feeding sharks,adult,juvenile,0,0.010343475244174899,0,0.400000005960464
FIL,red grouper,0,184,pPREY2FIL2,filter feeding sharks,adult,adult,0,0.010343475244174899,0,0.400000005960464
SMS,red grouper,0,187,pPREY1SMS2,small sharks,adult,juvenile,0,0.003926910599777132,0,0.4
SMS,red grouper,0,188,pPREY2SMS2,small sharks,adult,adult,0,0.003926910599777132,0,0.4
RAY,red grouper,0,191,pPREY1RAY2,skates and rays,adult,juvenile,0,0.003023520048827739,0,0.230579987168312
RAY,red grouper,0,192,pPREY2RAY2,skates and rays,adult,adult,0,0.003023520048827739,0,0.230579987168312
BSH,red grouper,0,195,pPREY1BSH2,brown shrimp,adult,juvenile,0,0.0021571768950158377,0,0.172799989581108
BSH,red grouper,0,196,pPREY2BSH2,brown shrimp,adult,adult,0,0.0021571768950158377,0,0.172799989581108
WSH,red grouper,0,199,pPREY1WSH2,white shrimp,adult,juvenile,0,0.0034963042677662345,0,0.1
WSH,red grouper,0,200,pPREY2WSH2,white shrimp,adult,adult,0,0.0034963042677662345,0,0.1
